-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/17/2022 
Location: Latitude  26.1806   Longitude 91.7539 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 400.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M_RANGE
1990,1,1,19.62,5.66,78.38,0.0,96.93,1.97
1990,1,2,20.03,5.87,73.81,0.0,96.94,1.05
1990,1,3,21.14,6.32,68.69,0.0,97.0,1.69
1990,1,4,21.93,7.04,70.31,0.0,97.05,2.16
1990,1,5,20.94,7.03,73.06,0.0,97.17,1.41
1990,1,6,21.37,6.78,68.94,0.0,97.17,1.55
1990,1,7,22.65,8.02,68.19,0.0,97.09,2.09
1990,1,8,22.37,7.81,68.62,0.0,97.09,2.34
1990,1,9,21.27,6.97,67.56,0.0,97.0,2.29
1990,1,10,20.71,7.62,67.5,0.0,96.87,1.24
1990,1,11,21.08,6.5,70.44,0.0,96.88,1.58
1990,1,12,21.78,7.42,73.38,0.0,96.87,1.86
1990,1,13,22.83,8.03,76.12,0.0,96.7,2.0
1990,1,14,22.65,8.29,76.12,0.0,96.62,1.79
1990,1,15,22.48,8.23,74.06,0.0,96.81,1.84
1990,1,16,23.98,8.85,72.5,0.0,96.78,1.85
1990,1,17,23.64,9.6,74.75,0.0,96.54,2.23
1990,1,18,23.77,8.83,68.25,0.0,96.56,2.12
1990,1,19,25.2,8.94,67.19,0.0,96.61,2.36
1990,1,20,25.24,10.32,70.19,0.0,96.67,2.23
1990,1,21,26.3,11.63,68.5,0.0,96.68,1.84
1990,1,22,25.26,12.44,67.44,0.0,96.79,2.04
1990,1,23,25.96,12.19,74.44,0.0,96.96,2.12
1990,1,24,26.16,11.77,72.81,0.06,96.85,1.97
1990,1,25,26.71,11.42,72.0,0.0,96.84,1.82
1990,1,26,26.9,11.51,74.88,0.0,96.89,1.73
1990,1,27,25.76,12.03,71.0,0.0,96.88,2.18
1990,1,28,25.84,11.14,60.94,2.13,96.81,2.05
1990,1,29,25.71,11.65,61.75,0.34,96.72,1.93
1990,1,30,26.11,12.32,56.0,0.15,96.66,2.15
1990,1,31,25.98,9.11,52.62,0.03,96.81,1.71
1990,2,1,25.19,10.48,59.75,0.29,96.65,2.03
1990,2,2,25.08,9.78,54.81,0.0,96.79,2.98
1990,2,3,25.1,8.07,56.5,0.0,97.1,2.45
1990,2,4,24.33,8.58,58.25,0.01,96.84,1.48
1990,2,5,24.36,7.23,57.56,0.0,96.78,2.03
1990,2,6,24.83,7.3,54.88,0.01,97.17,2.28
1990,2,7,24.9,8.74,63.19,0.01,97.33,1.45
1990,2,8,25.37,10.24,60.0,0.0,97.06,2.28
1990,2,9,25.63,10.07,58.62,0.0,96.97,2.13
1990,2,10,27.58,10.53,61.38,0.0,97.18,2.21
1990,2,11,25.32,12.2,69.19,0.01,97.2,1.69
1990,2,12,25.01,11.45,71.06,0.54,97.05,1.3
1990,2,13,25.3,10.81,71.94,0.01,96.98,1.73
1990,2,14,23.66,11.95,79.12,0.83,96.84,2.92
1990,2,15,24.81,10.79,77.81,0.73,96.6,2.2
1990,2,16,24.58,11.5,70.06,2.29,96.57,2.2
1990,2,17,25.44,9.33,59.5,0.0,96.82,2.41
